price_paid,deed_date,postcode,paon,street,town,district,dataset,tag
623750,2021-02-01,,47,HARDEL WALK,LONDON,2BED-LAMBETH,NEW-BUILD,2 bed
687684,2023-02-01,,47,HARDEL WALK,LONDON,2BED-LAMBETH,NEW-BUILD,2 bed
751652,2019-03-01,,70,HARDEL WALK,LONDON,3BED-LAMBETH,NEW-BUILD,3 bed
828696,2021-03-01,,70,HARDEL WALK,LONDON,3BED-LAMBETH,NEW-BUILD,3 bed
913638,2023-03-01,,70,HARDEL WALK,LONDON,3BED-LAMBETH,NEW-BUILD,3 bed
300000,2015-01-01,,21,BODLEY MANOR WAY,LONDON,LAMBETH,RICS,1 bed
275000,2015-01-15,,31,SCARLETTE MANOR WAY,LONDON,LAMBETH,RICS,1 bed
360000,2015-01-30,,13,HARDEL WALK,LONDON,LAMBETH,RICS,2 bed
375000,2015-02-15,,35,HARDEL WALK,LONDON,LAMBETH,RICS,2 bed
375000,2015-02-28,,47,HARDEL WALK,LONDON,LAMBETH,RICS,2 bed
